,c,k,z
193,1.4651537286950969e+26,-3.0596102279706756e+26,-0.00753603450323833
194,2.0939058050552105e+26,-4.372603019111119e+26,-0.009331421721853295
195,2.9924788331588956e+26,-6.249049956739431e+26,-0.006706042089211158
196,4.276663040564954e+26,-8.930750217009971e+26,-0.008038598694229772
197,6.111938557382311e+26,-1.27632680152615e+27,-0.009450055514341497
198,8.734799205569818e+26,-1.824046205201524e+27,-0.008019264135750298
199,1.2483227121036427e+27,-2.6068124204018073e+27,-0.006769413897321917
200,1.7840245171979738e+27,-3.7254927949647817e+27,-0.004437576141269262
201,2.549615934328378e+27,-5.324240615362413e+27,-0.005132822077746404
202,3.643751164805209e+27,-7.609070716386316e+27,-0.004706660444880952
203,5.207420604906416e+27,-1.0874406577326847e+28,-0.005974904963248311
204,7.442118885155419e+27,-1.554101976662529e+28,-0.007796657601729749
205,1.063580949243916e+28,-2.221025061636139e+28,-0.006185743601035888
206,1.5200031779268814e+28,-3.174149700915668e+28,-0.005063914352309533
207,2.172293197382159e+28,-4.536295649181471e+28,-0.00467180891351435
208,3.1045051773041764e+28,-6.482989195766814e+28,-0.0005887594237627487
209,4.436764064594586e+28,-9.265081503233368e+28,0.0023485279496803877
210,6.340744898345248e+28,-1.3241073318093605e+29,0.006403577919871738
211,9.061794875848344e+28,-1.8923311419758626e+29,0.005405368964270237
212,1.2950548821697789e+29,-2.704400968763186e+29,0.0032406151100350254
213,1.8508112033100586e+29,-3.864960226892757e+29,0.002874841209813074
214,2.645063276823315e+29,-5.523558720767108e+29,0.0016011592989771698
215,3.78015851961926e+29,-7.893923650099423e+29,0.0009600304709716081
216,5.40236544004788e+29,-1.1281500522356151e+30,0.0002387165099271162
217,7.720721815328345e+29,-1.6122812897274364e+30,-0.001961444119270798
218,1.1033971324449816e+30,-2.304171286482614e+30,-0.0029333815126293458
219,1.5769059694272009e+30,-3.292977069992849e+30,-0.002683905301317081
220,2.2536150976802817e+30,-4.706116271439141e+30,-0.0034700179522843726
221,3.2207253361703837e+30,-6.725686176840684e+30,-0.009335473632925282
222,4.6028586255599575e+30,-9.611928805046915e+30,-0.010475657768123404
223,6.578116826343026e+30,-1.3736765725321038e+31,-0.007920812391409241
224,9.401031945827593e+30,-1.9631723915107985e+31,-0.00920953153438431
225,1.3435365162951008e+31,-2.805642838973405e+31,-0.007543083949075859
226,1.920098113717738e+31,-4.009648757246925e+31,-0.007208183474945003
227,2.744083783051144e+31,-5.730338492541177e+31,-0.00472853499740151
228,3.921672415908231e+31,-8.18944032934327e+31,-0.0033049354722661187
229,5.604608223949719e+31,-1.1703834423598332e+32,-0.001415365363293615
230,8.009754516094665e+31,-1.6726386017393455e+32,-0.0007415939748179913
231,1.1447038730369327e+32,-2.3904301708058482e+32,-0.0016675544342578943
232,1.635938972053095e+32,-3.416252856747914e+32,-0.0013399099817853746
233,2.337981362098343e+32,-4.8822942932082794e+32,-0.0003393894300030161
234,3.341296309274438e+32,-6.977468754518791e+32,0.0002617284843893816
235,4.775171097322621e+32,-9.97176067161937e+32,0.002629648609210627
236,6.824375002424382e+32,-1.4251014858025333e+33,0.0001691741691796319
237,9.752968684164465e+32,-2.036665651851005e+33,-0.0036629614922671382
238,1.393833107361493e+33,-2.9106747966751054e+33,-0.0023262815474773954
239,1.9919788467396606e+33,-4.1597538429049166e+33,-0.001584077854877395
240,2.8468112178577814e+33,-5.944859265393803e+33,-0.004237785616556102
241,4.068484021999302e+33,-8.496019961762524e+33,-0.004667788695148133
242,5.814422162393817e+33,-1.2141978803578246e+34,-0.00449877411936651
243,8.309607436020598e+33,-1.7352554481988188e+34,-0.002425321036567023
244,1.1875569714797056e+34,-2.479918240028806e+34,-0.00251465876144674
245,1.6971819323217355e+34,-3.5441435920061315e+34,-0.002683198582192868
246,2.425505959356464e+34,-5.06506770989846e+34,-0.0010210907491697747
247,3.466380973562275e+34,-7.238677056911877e+34,-0.004520168460991142
248,4.953934253397003e+34,-1.0345063192711558e+35,-0.003206199891298327
249,7.0798520918950635e+34,-1.4784515405201939e+35,-0.0027074755188411168
250,1.0118080515246999e+35,-2.112910203590169e+35,-0.0044241345593035095
251,1.4460126000403224e+35,-3.0196387274652588e+35,-0.004250681025928902
252,2.066550504638211e+35,-4.315478257861934e+35,-0.0014678168100570104
253,2.9533843537057408e+35,-6.16741083119962e+35,-0.000664404767146143
254,4.220791662791184e+35,-8.81407669972678e+35,0.0032831104417142417
255,6.032090688885178e+35,-1.2596525542884173e+36,6.971358576805245e-05
256,8.620685640492699e+35,-1.8002164169668723e+36,-0.000979021691396043
257,1.2320143171775122e+36,-2.57275638181655e+36,-0.0025355694132926905
258,1.7607175821384214e+36,-3.676822040835544e+36,-0.0034396348882268983
259,2.5163071247042124e+36,-5.2546834265079776e+36,-0.0043922170912207605
260,3.596148303436091e+36,-7.509663945156008e+36,-0.005464034328820501
261,5.139389581399545e+36,-1.0732340655325392e+37,-0.004001898811850141
262,7.344893213708809e+36,-1.533798806220182e+37,-0.006099796510307105
263,1.0496860661435767e+37,-2.1920090439871796e+37,-0.007433164304230454
264,1.50014548257755e+37,-3.1326818285656097e+37,-0.006694698391090794
265,2.143913824793035e+37,-4.477032367154125e+37,-0.002493664661240984
266,3.063947158139105e+37,-6.3982938304728235e+37,-0.0022421870449487427
267,4.378801087667297e+37,-9.144040199800788e+37,-0.0023947044154228178
268,6.257907847536644e+37,-1.3068088679727596e+38,-0.003501263767278059
269,8.943409358912677e+37,-1.867609262533044e+38,-0.0064567378491472704
270,1.2781359666804921e+38,-2.6690700093809944e+38,-0.008078245997259086
271,1.826631750557474e+38,-3.814467435931886e+38,-0.0080197628213668
272,2.610507519642267e+38,-5.451397591162933e+38,-0.006955151174546337
273,3.730773599018527e+38,-7.790795490085732e+38,-0.005172125042153827
274,5.331787609269561e+38,-1.1134116224935257e+39,-0.003065909431931177
275,7.619856406681741e+38,-1.591218050430462e+39,-0.001495077145788055
276,1.0889820809348242e+39,-2.274069026103096e+39,-0.0001550009778790299
277,1.5563048820149122e+39,-3.2499568076685034e+39,-0.0034694062194434304
278,2.2241733157851766e+39,-4.644634411036565e+39,-0.003232878137466458
279,3.1786489882664436e+39,-6.637820158496518e+39,0.00014683531165053925
280,4.5427257484385574e+39,-9.486356203159059e+39,0.0010830487756736825
281,6.492178690287288e+39,-1.3557305239435335e+40,0.005122687708578499
282,9.27821455237701e+39,-1.9375250245612039e+40,0.007312512463824431
283,1.325984224813922e+40,-2.7689892308991405e+40,0.008205679040320142
284,1.8950134797270136e+40,-3.9572657197404952e+40,0.005814847635046231
285,2.7082343976234165e+40,-5.655475941142678e+40,0.007095147337640128
286,3.8704387229621425e+40,-8.082451466751921e+40,0.008229891779240056
287,5.5313882437024755e+40,-1.155093265222189e+41,0.009028097909820301
288,7.905113113159917e+40,-1.6507868396738385e+41,0.010472520073046063
289,1.1297491801086121e+41,-2.359201003146833e+41,0.010007290553945985
290,1.6145666629757959e+41,-3.3716220892266843e+41,0.009200336027424288
291,2.3074373985756574e+41,-4.818510799799705e+41,0.007123812669939264
292,3.2976447925243785e+41,-6.8863133866558825e+41,0.00819731366654824
293,4.712787087691209e+41,-9.84148713772878e+41,0.007864188030843499
294,6.735219688991045e+41,-1.4064836094994432e+42,0.009648234080985044
295,9.62555350260816e+41,-2.0100581508732336e+42,0.006325460267091101
296,1.3756237288445698e+42,-2.872649025273638e+42,0.006404659507301015
297,1.965955145174234e+42,-4.10540979564228e+42,0.005871810547619634
298,2.8096197759567314e+42,-5.867194161859053e+42,0.0056137612766842485
299,4.015332346124075e+42,-8.385025867452392e+42,0.006045955437097108
300,5.738461121252644e+42,-1.1983353006263568e+43,0.005454172553652259
301,8.20104868079346e+42,-1.712585644251042e+43,0.0026764037820270247
302,1.1720424351339446e+43,-2.4475199782245724e+43,0.0028845670569817524
