,A,C,K,Y,I
260,172.20456422374286,1064.3779771137818,274.0374135388462,197.95852929522766,-866.4194478185541
261,175.64865550821773,1082.0864923370427,279.5553928098225,201.92576795882664,-880.1607243782161
262,179.16162861838208,1104.2553097562154,285.1917496878515,205.974087925205,-898.2812218310104
263,182.74486119074973,1127.4502660556461,290.9329158136794,210.10165782147124,-917.3486082341749
264,186.39975841456473,1152.433136331789,296.7891012415683,214.31182085147432,-938.1213154803147
265,190.12775358285603,1175.4562304991787,302.7572534189959,218.60506936568032,-956.8511611334984
266,193.93030865451314,1197.2956558100955,308.847906326202,222.9848619456473,-974.3107938644482
267,197.80891482760342,1219.8208747557617,315.06376454749596,227.45298445527501,-992.3678903004867
268,201.7650931241555,1241.462894619368,321.4021161457182,232.01007373443548,-1009.4528208849324
269,205.8003949866386,1265.0751695720676,327.87111405926123,236.65914418696056,-1028.416025385107
270,209.91640288637137,1290.2727861147564,334.4677173316224,241.40081103825077,-1048.8719750765056
271,214.11473094409882,1314.022959443237,341.1924066163376,246.2364778390915,-1067.7864816041454
272,218.3970255629808,1338.8056191366736,348.05545633272806,251.16969452447725,-1087.6359246121963
273,222.76496607424042,1364.142427822752,355.05482691857134,256.20137136789486,-1107.9410564548573
274,227.22026539572522,1389.598809735035,362.19369115192563,261.3335742498781,-1128.265235485157
275,231.76467070363972,1412.536687080379,369.4732846367057,266.5679773143276,-1145.9687097660512
276,236.39996411771253,1433.8216008773402,376.9014682686904,271.90771683725666,-1161.9138840400835
277,241.1279634000668,1456.362229063695,384.48214714675476,277.35510139649006,-1179.007127667205
278,245.95052266806812,1482.4214747823196,392.21553791894394,282.91167060774507,-1199.5098041745746
279,250.8695331214295,1506.3237648527142,400.0965438928128,288.5778444280036,-1217.7459204247107
280,255.8869237838581,1534.4474251781483,408.1421046640961,294.3588416501747,-1240.0885835279735
281,261.0046622595353,1563.7407238071019,416.34338059963017,300.25433395145257,-1263.4863898556493
282,266.224755504726,1589.8240455780417,424.7047805852814,306.26689153088984,-1283.557154047152
283,271.5492506148205,1617.5995829765786,433.23967950428903,312.4010564037562,-1305.1985265728224
284,276.9802356271169,1648.8373461052192,441.945703895053,318.65799646910386,-1330.1793496361154
285,282.51984033965925,1681.5796835849171,450.82237275477456,325.0393229065253,-1356.5403606783918
286,288.17023714645245,1722.5576745734413,459.8807681815676,331.54918232054666,-1391.0084922528947
287,293.9336418893815,1765.1921850169504,469.1108238256235,338.1871821038766,-1427.005002913074
288,299.8123147271691,1811.531273320111,478.5264848476023,344.958158731848,-1466.573114588263
289,305.80856102171253,1858.557917847972,488.1268933926714,351.86378344953636,-1506.6941343984356
290,311.9247322421468,1909.8030659035894,497.921995260727,358.90810103540656,-1550.8949648681828
291,318.1632268869897,1952.8268682729051,507.9035064435604,366.09125199225355,-1586.7356162806516
292,324.5264914247295,1993.3224821374126,518.0937283960981,373.42002928517337,-1619.9024528522393
293,331.01702125322413,2033.1767118515686,528.4909031034869,380.8960625463285,-1652.28064930524
294,337.6373616782886,2075.8149995874564,539.0988723389797,388.52223253249844,-1687.292767054958
295,344.3901089118544,2120.005112337004,549.9172241701066,396.3005413786917,-1723.7045709583122
296,351.27791109009144,2169.4680472470513,560.9537154984951,404.23479922317654,-1765.2332480238747
