,A,C,K,Z,Y,I
635,289140.5939553797,200996.4694029884,463244.5095201382,0.9983362106087985,332503.5267280569,131507.05732506848
636,294923.4058344873,204692.33640052387,472509.3880818374,0.996863017762988,338653.1234302779,133960.78702975405
637,300821.873951177,208163.92365778884,481959.56864384265,0.9984137038044971,345963.5175179098,137799.59386012098
638,306838.3114302006,212007.21629322064,491598.75779568416,0.999437807108298,353244.7499983015,141237.53370508086
639,312975.0776588046,216131.86490290394,501430.72852334706,0.9989214450091408,360123.4891445681,143991.62424166416
640,319234.5792119807,220228.61241946486,511459.3358173571,0.9993446201689081,367481.56841546495,147252.9559960001
641,325619.2707962203,224493.3233200441,521688.51685841766,0.998700063634016,374589.44021841773,150096.11689837364
642,332131.6562121447,228700.40019545704,532122.2798283214,0.9984807876427473,381997.3371438725,153296.93694841547
643,338774.2893363876,232937.72171013444,542764.7191782496,0.9956669737546888,388539.2475962803,155601.52588614586
644,345549.77512311534,236618.33385824863,553620.0044480155,0.9932521179365797,395348.8341182756,158730.50026002698
645,352460.77062557766,239803.26315281156,564692.3986260598,0.9921767430133801,402819.21224207233,163015.94908926077
646,359509.9860380892,242781.08665906332,575986.2445677831,0.9913638214292504,410538.95276494435,167757.86610588102
647,366700.185758851,245604.56531398173,587505.9686713989,0.9896692459374266,418033.94697505125,172429.38166106952
648,374034.18947402807,248057.3946561206,599256.0868639806,0.9912640280101171,427081.7304782515,179024.33582213093
649,381514.8732635086,250918.23778042063,611241.2128349596,0.9927689788626657,436284.7354541353,185366.49767371465
650,389145.1707287788,254178.13506468775,623466.0394370288,0.9955133161460844,446240.5846512927,192062.44958660495
651,396928.0741433544,258156.509609363,635935.3623752757,0.9955841576837972,455197.78674591036,197041.27713654735
652,404866.6356262215,262214.8785570661,648654.0657645054,0.994424485596563,463760.9156802495,201546.03712318343
653,412963.96833874594,266042.31691191415,661627.1416125535,0.992820385536396,472273.08112636395,206230.7642144498
654,421223.24770552083,269511.96145192883,674859.6795090828,0.988682059039569,479710.61696141376,210198.65550948493
655,429647.7126596313,271945.6004872108,688356.8666298585,0.9896675778005464,489792.5672133143,217846.9667261035
656,438240.6669128239,274661.0554245646,702124.0075321882,0.9876795469718527,498584.8528680332,223923.79744346865
657,447005.48025108036,276874.215942281,716166.4865237089,0.9901986134433863,509853.617899731,232979.40195744997
658,455945.589856102,279781.4287599568,730489.8222247149,0.9917139575834957,520846.54779573873,241065.11903578194
659,465064.50165322406,283130.17655103275,745099.6207064438,0.9932980766251925,532112.0954513209,248981.91890028812
660,474365.79168628855,286953.7775581202,760001.6135471018,0.995882604189899,544166.5656428618,257212.78808474157
661,483853.10752001434,291547.85938069044,775201.645696771,0.9958707999199906,555043.3178823314,263495.458501641
662,493530.1696704146,296212.1561704292,790705.6727434789,0.9959609852868252,566195.452603056,269983.2964326268
663,503400.7730638229,300976.96537149796,806519.7803840234,0.9944853956935467,576663.7229155438,275686.75754404586
664,513468.7885250994,305387.966484603,822650.168160824,0.9932635286558038,587474.311857992,282086.34537338896
665,523738.16429560137,309501.92636804807,839103.1653681902,0.9926407814152446,598848.1009462259,289346.17457817786
666,534212.9275815134,313484.4739188194,855885.2243277917,0.9940497592493676,611692.0815936698,298207.60767485044
